Cluster 01,Cluster 02,Cluster 03,Cluster 04,Cluster 05,Cluster 06,Cluster 07,Cluster 08,Cluster 09,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
,'02544','02084',,'03851','02620',,'02910','02811','04831','04380',,,,'03597',,,,,
,'02545','02089',,'03857','02629',,'02911','02822','04850','04394',,,,'03640',,,,,
,'02556','02096',,'03875','02634',,'02924','02827','04862','04415',,,,'03670',,,,,
,'02557','02108',,'03883','02652',,'02926','02832','04878','04438',,,,'03687',,,,,
,'02581','02116',,'03917','02657',,'02932','02839','04904','04451',,,,'03693',,,,,
,'02583','02128',,'03935','02670',,'02943','02854','04912','04459',,,,'03703',,,,,
,'02594','02136',,'03947','02674',,'02949','02859','04967','04463',,,,'03717',,,,,
,'02599','02149',,'03966','02675',,'02964','02867','04971','04468',,,,'03718',,,,,
,'02606','02163',,'03974','02715',,'02981','02883','04982','04486',,,,'03727',,,,,
,'02612','02169',,'03990','02730',,'02982','02894','04986','04523',,,,'03751',,,,,
,'02614','02172',,'04011','02732',,'02985','02896','04996','04529',,,,'03760',,,,,
,'02651','02174',,'04050','02736',,'02991','02897',,'04540',,,,'03773',,,,,
,'02661','02184',,'04068','02749',,'02995','02903',,'04550',,,,'03784',,,,,
,'02663','02194',,'04078','02753',,'03002','02905',,'04553',,,,'03800',,,,,
,'02691','02196',,'04091','02755',,'03033','02914',,'04564',,,,'03817',,,,,
,'02696','02197',,'04113','02757',,'03036','02918',,'04579',,,,'03823',,,,,
,'02698','02221',,'04132','02768',,'03043','02928',,'04628',,,,'03827',,,,,
,'02699','02226',,'04164','02769',,'03054','02930',,'04652',,,,'03846',,,,,
,'02718','02229',,'04172','02780',,'03063','02948',,'04656',,,,'03957',,,,,
,'02751','02236',,'04198','02800',,'03068','02965',,'04669',,,,'03968',,,,,
,'02766','02239',,'04201','02802',,'03083','02973',,'04679',,,,'03970',,,,,
,'02778','02249',,'04239','02809',,'03096','02977',,'04681',,,,'03977',,,,,
,'02820','02263',,'04248','02835',,'03097','02987',,'04724',,,,'03978',,,,,
,'02828','02274',,'04264','02848',,'03114','03041',,'04780',,,,'03981',,,,,
,'02829','02312',,'04274','02863',,'03122','03066',,'04783',,,,'03986',,,,,
,'02830','02322',,'04279','02890',,'03138','03111',,'04819',,,,'04009',,,,,
,'02845','02336',,'04292','02899',,'03156','03154',,'04821',,,,'04018',,,,,
,'02852','02349',,'04293','02900',,'03159','03160',,'04825',,,,'04028',,,,,
,'02884','02350',,'04306','02917',,'03170','03167',,'04843',,,,'04032',,,,,
,'02888','02357',,'04322','02931',,'03199','03173',,'04854',,,,'04036',,,,,
,'02891','02364',,'04323','02953',,'03224','03185',,'04895',,,,'04040',,,,,
,'02909','02371',,'04327','02959',,'03225','03207',,'04915',,,,'04046',,,,,
,'02934','02373',,'04351','02993',,'03232','03221',,'04939',,,,'04054',,,,,
,'02940','02377',,'04376','03024',,'03238','03239',,'04941',,,,'04076',,,,,
,'02944','02378',,'04385','03026',,'03241','03254',,'04949',,,,'04077',,,,,
,'02950','02391',,'04387','03031',,'03244','03263',,'04960',,,,'04090',,,,,
,'02966','02397',,'04395','03051',,'03247','03269',,'04962',,,,'04106',,,,,
,'02988','02400',,'04411','03058',,'03252','03279',,'05003',,,,'04126',,,,,
,'02992','02407',,'04429','03061',,'03283','03280',,'05007',,,,'04130',,,,,
,'02996','02408',,'04439','03075',,'03301','03282',,'05010',,,,'04150',,,,,
,'03001','02420',,'04457','03078',,'03321','03291',,,,,,'04175',,,,,
,'03009','02431',,'04475','03106',,'03333','03298',,,,,,'04190',,,,,
,'03010','02433',,'04480','03121',,'03344','03317',,,,,,'04209',,,,,
,'03018','02445',,'04497','03126',,'03367','03319',,,,,,'04219',,,,,
,'03021','02449',,'04526','03128',,'03373','03320',,,,,,'04223',,,,,
,'03022','02484',,'04528','03145',,'03385','03340',,,,,,'04228',,,,,
,'03050','02497',,'04548','03147',,'03391','03349',,,,,,'04255',,,,,
,'03052','02500',,'04557','03155',,'03394','03356',,,,,,'04256',,,,,
,'03057','02508',,'04574','03157',,'03396','03365',,,,,,'04265',,,,,
,'03080','02512',,'04604','03158',,'03412','03377',,,,,,'04278',,,,,
,'03082','02529',,'04615','03162',,'03434','03378',,,,,,'04300',,,,,
,'03088','02530',,'04626','03168',,'03465','03381',,,,,,'04302',,,,,
,'03104','02542',,'04646','03195',,'03474','03395',,,,,,'04318',,,,,
,'03118','02549',,'04668','03200',,'03478','03403',,,,,,'04328',,,,,
,'03130','02564',,'04684','03201',,'03480','03407',,,,,,'04375',,,,,
,'03131','02569',,'04723','03205',,'03500','03411',,,,,,'04407',,,,,
,'03132','02570',,'04726','03211',,'03513','03415',,,,,,'04424',,,,,
,'03144','02573',,'04750','03215',,'03515','03419',,,,,,'04435',,,,,
,'03164','02590',,'04756','03226',,'03519','03421',,,,,,'04482',,,,,
,'03174','02605',,'04757','03227',,'03520','03428',,,,,,'04500',,,,,
,'03180','02611',,'04772','03260',,'03537','03436',,,,,,'04537',,,,,
,'03189','02617',,'04804','03267',,'03543','03443',,,,,,'04567',,,,,
,'03190','02627',,'04809','03268',,'03561','03445',,,,,,'04569',,,,,
,'03208','02656',,'04841','03273',,'03584','03460',,,,,,'04572',,,,,
,'03222','02665',,'04849','03278',,'03586','03506',,,,,,'04589',,,,,
,'03228','02666',,'04870','03296',,'03590','03517',,,,,,'04594',,,,,
,'03229','02672',,'04918','03327',,'03636','03525',,,,,,'04603',,,,,
,'03233','02677',,'04947','03328',,'03672','03536',,,,,,'04608',,,,,
,'03257','02679',,'04951','03336',,'03673','03540',,,,,,'04610',,,,,
,'03265','02697',,'04956','03343',,'03676','03541',,,,,,'04612',,,,,
,'03270','02700',,'04958','03374',,'03699','03544',,,,,,'04620',,,,,
,'03292','02707',,'04970','03376',,'03714','03554',,,,,,'04633',,,,,
,'03300','02708',,'04972','03388',,'03720','03560',,,,,,'04683',,,,,
,'03302','02716',,'05002','03404',,'03725','03580',,,,,,'04694',,,,,
,'03309','02717',,,'03409',,'03732','03602',,,,,,'04727',,,,,
,'03314','02719',,,'03413',,'03733','03603',,,,,,'04736',,,,,
,'03316','02727',,,'03417',,'03736','03607',,,,,,'04739',,,,,
,'03339','02739',,,'03424',,'03748','03609',,,,,,'04760',,,,,
,'03342','02752',,,'03429',,'03762','03613',,,,,,'04762',,,,,
,'03345','02759',,,'03441',,'03772','03621',,,,,,'04763',,,,,
,'03346','02772',,,'03444',,'03774','03634',,,,,,'04764',,,,,
,'03360','02777',,,'03454',,'03806','03650',,,,,,'04776',,,,,
,'03363','02799',,,'03464',,'03819','03653',,,,,,'04790',,,,,
,'03364','02803',,,'03476',,'03826','03669',,,,,,'04805',,,,,
,'03379','02806',,,'03488',,'03828','03719',,,,,,'04826',,,,,
,'03392','02807',,,'03489',,'03840','03753',,,,,,'04835',,,,,
,'03440','02815',,,'03491',,'03854','03761',,,,,,'04847',,,,,
,'03457','02816',,,'03493',,'03860','03791',,,,,,'04864',,,,,
,'03459','02824',,,'03498',,'03868','03799',,,,,,'04923',,,,,
,'03461','02836',,,'03505',,'03881','03813',,,,,,'04934',,,,,
,'03475','02844',,,'03522',,'03882','03818',,,,,,'04942',,,,,
,'03497','02864',,,'03545',,'03887','03832',,,,,,'04953',,,,,
,'03507','02879',,,'03549',,'03893','03845',,,,,,'04975',,,,,
,'03538','02886',,,'03559',,'03897','03850',,,,,,'04997',,,,,
,'03556','02887',,,'03567',,'03899','03862',,,,,,'05004',,,,,
,'03564','02901',,,'03571',,'03901','03865',,,,,,,,,,,
,'03570','02904',,,'03582',,'03909','03869',,,,,,,,,,,
,'03578','02925',,,'03593',,'03910','03874',,,,,,,,,,,
,'03583','02927',,,'03617',,'03915','03889',,,,,,,,,,,
,'03585','02929',,,'03618',,'03958','03898',,,,,,,,,,,
,'03588','02937',,,'03623',,'03989','03927',,,,,,,,,,,
,'03601','02939',,,'03627',,'04004','03937',,,,,,,,,,,
,'03635','02951',,,'03637',,'04094','03961',,,,,,,,,,,
,'03643','02952',,,'03641',,'04108','03973',,,,,,,,,,,
,'03646','02955',,,'03651',,'04114','03979',,,,,,,,,,,
,'03647','02962',,,'03674',,'04119','03987',,,,,,,,,,,
,'03655','02969',,,'03688',,'04131','03998',,,,,,,,,,,
,'03658','02983',,,'03694',,'04146','04001',,,,,,,,,,,
,'03664','02990',,,'03697',,'04165','04027',,,,,,,,,,,
,'03675','02998',,,'03698',,'04183','04051',,,,,,,,,,,
,'03730','03012',,,'03706',,'04226','04058',,,,,,,,,,,
,'03778','03019',,,'03715',,'04230','04063',,,,,,,,,,,
,'03780','03040',,,'03721',,'04240','04066',,,,,,,,,,,
,'03783','03053',,,'03726',,'04245','04067',,,,,,,,,,,
,'03787','03059',,,'03729',,'04251','04089',,,,,,,,,,,
,'03798','03060',,,'03735',,'04262','04092',,,,,,,,,,,
,'03805','03081',,,'03740',,'04266','04100',,,,,,,,,,,
,'03814','03107',,,'03743',,'04272','04111',,,,,,,,,,,
,'03816','03108',,,'03754',,'04284','04118',,,,,,,,,,,
,'03820','03119',,,'03757',,'04303','04127',,,,,,,,,,,
,'03856','03133',,,'03758',,'04319','04141',,,,,,,,,,,
,'03858','03137',,,'03764',,'04335','04152',,,,,,,,,,,
,'03863','03141',,,'03776',,'04340','04170',,,,,,,,,,,
,'03896','03148',,,'03794',,'04353','04177',,,,,,,,,,,
,'03913','03151',,,'03796',,'04356','04180',,,,,,,,,,,
,'03923','03165',,,'03821',,'04369','04185',,,,,,,,,,,
,'03929','03172',,,'03837',,'04377','04187',,,,,,,,,,,
,'03939','03178',,,'03848',,'04383','04189',,,,,,,,,,,
,'03940','03182',,,'03876',,'04390','04204',,,,,,,,,,,
,'03953','03184',,,'03877',,'04414','04217',,,,,,,,,,,
,'03960','03186',,,'03886',,'04417','04222',,,,,,,,,,,
,'03976','03196',,,'03904',,'04428','04225',,,,,,,,,,,
,'03985','03203',,,'03914',,'04430','04227',,,,,,,,,,,
,'03988','03219',,,'03918',,'04434','04234',,,,,,,,,,,
,'04005','03231',,,'03930',,'04449','04242',,,,,,,,,,,
,'04008','03249',,,'03936',,'04453','04263',,,,,,,,,,,
,'04023','03262',,,'03951',,'04456','04286',,,,,,,,,,,
,'04033','03274',,,'03952',,'04508','04309',,,,,,,,,,,
,'04038','03303',,,'03954',,'04511','04312',,,,,,,,,,,
,'04062','03323',,,'03965',,'04522','04317',,,,,,,,,,,
,'04083','03329',,,'04002',,'04538','04333',,,,,,,,,,,
,'04095','03337',,,'04015',,'04546','04346',,,,,,,,,,,
,'04112','03347',,,'04021',,'04565','04354',,,,,,,,,,,
,'04151','03353',,,'04024',,'04582','04372',,,,,,,,,,,
,'04155','03355',,,'04045',,'04591','04373',,,,,,,,,,,
,'04184','03359',,,'04053',,'04625','04401',,,,,,,,,,,
,'04195','03361',,,'04071',,'04637','04406',,,,,,,,,,,
,'04206','03371',,,'04079',,'04638','04408',,,,,,,,,,,
,'04207','03383',,,'04085',,'04666','04431',,,,,,,,,,,
,'04224','03384',,,'04087',,'04688','04437',,,,,,,,,,,
,'04233','03387',,,'04102',,'04691','04444',,,,,,,,,,,
,'04285','03393',,,'04120',,'04697','04458',,,,,,,,,,,
,'04288','03397',,,'04121',,'04701','04488',,,,,,,,,,,
,'04304','03398',,,'04125',,'04749','04489',,,,,,,,,,,
,'04329','03416',,,'04138',,'04752','04494',,,,,,,,,,,
,'04343','03418',,,'04140',,'04765','04495',,,,,,,,,,,
,'04349','03430',,,'04166',,'04781','04496',,,,,,,,,,,
,'04355','03447',,,'04168',,'04782','04507',,,,,,,,,,,
,'04360','03452',,,'04171',,'04785','04509',,,,,,,,,,,
,'04366','03483',,,'04188',,'04791','04520',,,,,,,,,,,
,'04374','03486',,,'04191',,'04815','04525',,,,,,,,,,,
,'04378','03492',,,'04192',,'04851','04539',,,,,,,,,,,
,'04379','03502',,,'04193',,'04863','04552',,,,,,,,,,,
,'04382','03504',,,'04203',,'04873','04576',,,,,,,,,,,
,'04386','03514',,,'04238',,'04876','04592',,,,,,,,,,,
,'04409','03516',,,'04246',,'04880','04602',,,,,,,,,,,
,'04422','03524',,,'04254',,'04881','04609',,,,,,,,,,,
,'04423','03526',,,'04258',,'04894','04611',,,,,,,,,,,
,'04447','03534',,,'04269',,'04900','04617',,,,,,,,,,,
,'04454','03542',,,'04273',,'04945','04639',,,,,,,,,,,
,'04464','03551',,,'04287',,'04955','04644',,,,,,,,,,,
,'04477','03563',,,'04290',,'04963','04665',,,,,,,,,,,
,'04479','03572',,,'04294',,'04976','04674',,,,,,,,,,,
,'04485','03573',,,'04297',,'04980','04680',,,,,,,,,,,
,'04491','03574',,,'04307',,,'04704',,,,,,,,,,,
,'04505','03576',,,'04339',,,'04719',,,,,,,,,,,
,'04510','03598',,,'04345',,,'04728',,,,,,,,,,,
,'04515','03605',,,'04359',,,'04768',,,,,,,,,,,
,'04516','03606',,,'04364',,,'04778',,,,,,,,,,,
,'04517','03615',,,'04391',,,'04811',,,,,,,,,,,
,'04524','03616',,,'04413',,,'04814',,,,,,,,,,,
,'04530','03624',,,'04443',,,'04820',,,,,,,,,,,
,'04534','03633',,,'04460',,,'04840',,,,,,,,,,,
,'04535','03638',,,'04469',,,'04875',,,,,,,,,,,
,'04544','03652',,,'04502',,,'04885',,,,,,,,,,,
,'04562','03665',,,'04533',,,'04887',,,,,,,,,,,
,'04570','03667',,,'04536',,,'04911',,,,,,,,,,,
,'04593','03677',,,'04571',,,'04916',,,,,,,,,,,
,'04595','03681',,,'04578',,,'04948',,,,,,,,,,,
,'04622','03682',,,'04585',,,'04950',,,,,,,,,,,
,'04651','03685',,,'04586',,,'04977',,,,,,,,,,,
,'04686','03690',,,'04596',,,'04981',,,,,,,,,,,
,'04690','03704',,,'04630',,,'04987',,,,,,,,,,,
,'04705','03728',,,'04649',,,'04992',,,,,,,,,,,
,'04720','03731',,,'04650',,,'04993',,,,,,,,,,,
,'04735','03738',,,'04670',,,'05008',,,,,,,,,,,
,'04746','03759',,,'04675',,,,,,,,,,,,,,
,'04747','03788',,,'04682',,,,,,,,,,,,,,
,'04751','03795',,,'04689',,,,,,,,,,,,,,
,'04759','03808',,,'04699',,,,,,,,,,,,,,
,'04784','03810',,,'04711',,,,,,,,,,,,,,
,'04786','03830',,,'04721',,,,,,,,,,,,,,
,'04796','03841',,,'04729',,,,,,,,,,,,,,
,'04798','03849',,,'04732',,,,,,,,,,,,,,
,'04822','03853',,,'04733',,,,,,,,,,,,,,
,'04833','03864',,,'04743',,,,,,,,,,,,,,
,'04836','03870',,,'04773',,,,,,,,,,,,,,
,'04848','03878',,,'04774',,,,,,,,,,,,,,
,'04855','03895',,,'04799',,,,,,,,,,,,,,
,'04867','03920',,,'04806',,,,,,,,,,,,,,
,'04883','03921',,,'04807',,,,,,,,,,,,,,
,'04890','03922',,,'04812',,,,,,,,,,,,,,
,'04892','03933',,,'04852',,,,,,,,,,,,,,
,'04897','03934',,,'04868',,,,,,,,,,,,,,
,'04913','03969',,,'04869',,,,,,,,,,,,,,
,'04932','03971',,,'04877',,,,,,,,,,,,,,
,'04936','03983',,,'04886',,,,,,,,,,,,,,
,'04954','03984',,,'04891',,,,,,,,,,,,,,
,'04968','03994',,,'04903',,,,,,,,,,,,,,
,'04990','04007',,,'04914',,,,,,,,,,,,,,
,'04999','04020',,,'04933',,,,,,,,,,,,,,
,,'04029',,,'04966',,,,,,,,,,,,,,
,,'04048',,,'04969',,,,,,,,,,,,,,
,,'04056',,,'04978',,,,,,,,,,,,,,
,,'04061',,,'04983',,,,,,,,,,,,,,
,,'04073',,,'05006',,,,,,,,,,,,,,
,,'04082',,,,,,,,,,,,,,,,,
,,'04105',,,,,,,,,,,,,,,,,
,,'04107',,,,,,,,,,,,,,,,,
,,'04137',,,,,,,,,,,,,,,,,
,,'04161',,,,,,,,,,,,,,,,,
,,'04197',,,,,,,,,,,,,,,,,
,,'04200',,,,,,,,,,,,,,,,,
,,'04208',,,,,,,,,,,,,,,,,
,,'04210',,,,,,,,,,,,,,,,,
,,'04211',,,,,,,,,,,,,,,,,
,,'04214',,,,,,,,,,,,,,,,,
,,'04215',,,,,,,,,,,,,,,,,
,,'04231',,,,,,,,,,,,,,,,,
,,'04252',,,,,,,,,,,,,,,,,
,,'04253',,,,,,,,,,,,,,,,,
,,'04275',,,,,,,,,,,,,,,,,
,,'04283',,,,,,,,,,,,,,,,,
,,'04296',,,,,,,,,,,,,,,,,
,,'04301',,,,,,,,,,,,,,,,,
,,'04315',,,,,,,,,,,,,,,,,
,,'04320',,,,,,,,,,,,,,,,,
,,'04321',,,,,,,,,,,,,,,,,
,,'04337',,,,,,,,,,,,,,,,,
,,'04342',,,,,,,,,,,,,,,,,
,,'04348',,,,,,,,,,,,,,,,,
,,'04350',,,,,,,,,,,,,,,,,
,,'04352',,,,,,,,,,,,,,,,,
,,'04388',,,,,,,,,,,,,,,,,
,,'04393',,,,,,,,,,,,,,,,,
,,'04404',,,,,,,,,,,,,,,,,
,,'04410',,,,,,,,,,,,,,,,,
,,'04412',,,,,,,,,,,,,,,,,
,,'04418',,,,,,,,,,,,,,,,,
,,'04419',,,,,,,,,,,,,,,,,
,,'04426',,,,,,,,,,,,,,,,,
,,'04442',,,,,,,,,,,,,,,,,
,,'04490',,,,,,,,,,,,,,,,,
,,'04499',,,,,,,,,,,,,,,,,
,,'04501',,,,,,,,,,,,,,,,,
,,'04503',,,,,,,,,,,,,,,,,
,,'04519',,,,,,,,,,,,,,,,,
,,'04542',,,,,,,,,,,,,,,,,
,,'04543',,,,,,,,,,,,,,,,,
,,'04549',,,,,,,,,,,,,,,,,
,,'04566',,,,,,,,,,,,,,,,,
,,'04568',,,,,,,,,,,,,,,,,
,,'04573',,,,,,,,,,,,,,,,,
,,'04575',,,,,,,,,,,,,,,,,
,,'04587',,,,,,,,,,,,,,,,,
,,'04601',,,,,,,,,,,,,,,,,
,,'04606',,,,,,,,,,,,,,,,,
,,'04613',,,,,,,,,,,,,,,,,
,,'04616',,,,,,,,,,,,,,,,,
,,'04632',,,,,,,,,,,,,,,,,
,,'04634',,,,,,,,,,,,,,,,,
,,'04642',,,,,,,,,,,,,,,,,
,,'04643',,,,,,,,,,,,,,,,,
,,'04657',,,,,,,,,,,,,,,,,
,,'04662',,,,,,,,,,,,,,,,,
,,'04672',,,,,,,,,,,,,,,,,
,,'04677',,,,,,,,,,,,,,,,,
,,'04678',,,,,,,,,,,,,,,,,
,,'04685',,,,,,,,,,,,,,,,,
,,'04692',,,,,,,,,,,,,,,,,
,,'04700',,,,,,,,,,,,,,,,,
,,'04708',,,,,,,,,,,,,,,,,
,,'04717',,,,,,,,,,,,,,,,,
,,'04771',,,,,,,,,,,,,,,,,
,,'04777',,,,,,,,,,,,,,,,,
,,'04779',,,,,,,,,,,,,,,,,
,,'04787',,,,,,,,,,,,,,,,,
,,'04795',,,,,,,,,,,,,,,,,
,,'04810',,,,,,,,,,,,,,,,,
,,'04816',,,,,,,,,,,,,,,,,
,,'04824',,,,,,,,,,,,,,,,,
,,'04829',,,,,,,,,,,,,,,,,
,,'04839',,,,,,,,,,,,,,,,,
,,'04844',,,,,,,,,,,,,,,,,
,,'04846',,,,,,,,,,,,,,,,,
,,'04861',,,,,,,,,,,,,,,,,
,,'04871',,,,,,,,,,,,,,,,,
,,'04893',,,,,,,,,,,,,,,,,
,,'04901',,,,,,,,,,,,,,,,,
,,'04906',,,,,,,,,,,,,,,,,
,,'04907',,,,,,,,,,,,,,,,,
,,'04908',,,,,,,,,,,,,,,,,
,,'04917',,,,,,,,,,,,,,,,,
,,'04922',,,,,,,,,,,,,,,,,
,,'04928',,,,,,,,,,,,,,,,,
,,'04935',,,,,,,,,,,,,,,,,
,,'04937',,,,,,,,,,,,,,,,,
,,'04952',,,,,,,,,,,,,,,,,
,,'04961',,,,,,,,,,,,,,,,,
,,'04965',,,,,,,,,,,,,,,,,
,,'04973',,,,,,,,,,,,,,,,,
,,'04984',,,,,,,,,,,,,,,,,
,,'04989',,,,,,,,,,,,,,,,,
,,'04994',,,,,,,,,,,,,,,,,
