Cluster 01,Cluster 02,Cluster 03,Cluster 04,Cluster 05,Cluster 06,Cluster 07,Cluster 08,Cluster 09,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
'01640','00552','00389','01459','00896','00574','01155','00609','00533','01098','00893','01613','02165','01518','00703','03438','01462',,'01569','02838'
'01653','00557','00401','01476','00903','00575','01206','00626','00540','01101','00906','01647','02235','01685','00714','03451','01471',,'01623','02840'
'01658','00559','00402','01538','00909','00582','01208','00656','00558','01111','00921','01659','02286','01693','00738','03469','01494',,'01634','02857'
'01712','00576','00408','01566','00931','00587','01226','00665','00570','01117','00973','01670','02305','01776','00744','03547','01504',,'01695','02892'
'01719','00590','00432','01568','00936','00598','01261','00666','00580','01126','00986','01702','02368','01778','00761','03644','01521',,'01714','02947'
'01745','00593','00433','01646','00937','00611','01266','00684','00581','01128','00990','01791','02374','01807','00769','03645','01529',,'01743','03007'
'01763','00622','00451','01656','00995','00627','01279','00689','00586','01143','01011','01813','02387','01828','00793','03790','01531',,'01748','03045'
'01774','00636','00455','01694','01027','00630','01286','00695','00588','01192','01013','01832','02411','01833','00796','03831','01549',,'01852','03077'
'01790','00637','00467','01708','01032','00631','01308','00700','00605','01210','01033','01850','02421','01865','00798','03855','01576',,'01895','03090'
'01795','00640','00482','01720','01042','00633','01323','00740','00610','01218','01048','01862','02474','01874','00799','03942','01599',,'01905','03139'
'01800','00658','00488','01772','01057','00634','01398','00780','00615','01224','01085','01902','02503','01896','00800','03997','01612',,'01941','03146'
'01849','00660','00496','01801','01058','00649','01445','00781','00620','01241','01087','01919','02513','01973','00826','03999','01624',,'01969','03194'
'01853','00678','00498','01805','01059','00654','01455','00790','00629','01254','01109','01945','02535','01999','00852','04000','01657',,'02066','03220'
'01908','00705','00511','01819','01061','00676','01486','00807','00639','01270','01123','01982','02610','02063','00853','04052','01666',,'02150','03230'
'01926','00706','00523','01826','01062','00680','01493','00820','00669','01290','01141','02005','02791','02081','00862','04103','01690',,'02211','03304'
'01930','00710','00529','01841','01065','00688','01514','00833','00672','01295','01153','02025','02794','02090','00885','04163','01692',,'02262','03305'
'01934','00713','00536','01861','01066','00691','01536','00835','00673','01309','01186','02057','02796','02113','00901','04513','01710',,'02295','03306'
'01937','00718','00537','01883','01110','00711','01582','00843','00679','01317','01209','02111','02847','02137','00911','04712','01715',,'02345','03311'
'01946','00732','00556','01888','01142','00729','01611','00845','00693','01325','01221','02173','02882','02247','00914','04714','01804',,'02356','03431'
'01950','00766','00565','01913','01148','00733','01637','00859','00694','01346','01230','02202','02912','02266','00918','04755','01815',,'02440','03433'
'01960','00794','00569','01933','01152','00735','01655','00863','00725','01376','01284','02238','03027','02288','00946','04896','01838',,'02448','03448'
'01971','00816','00579','01943','01170','00748','01675','00875','00730','01400','01285','02242','03030','02297','00953',,'01840',,'02465','03466'
'02011','00829','00608','01983','01173','00749','01697','00888','00739','01458','01297','02255','03038','02330','00956',,'01886',,'02517','03485'
'02037','00842','00613','02076','01212','00753','01711','00940','00755','01468','01301','02367','03072','02352','00968',,'01892',,'02518','03510'
'02043','00866','00621','02117','01222','00756','01728','00941','00774','01495','01356','02404','03100','02439','00970',,'01998',,'02536','03548'
'02048','00869','00648','02159','01233','00757','01733','00944','00805','01509','01381','02456','03102','02442','01004',,'02002',,'02555','03579'
'02071','00907','00671','02208','01244','00782','01764','00963','00809','01510','01394','02469','03125','02487','01031',,'02060',,'02586','03756'
'02121','00926','00677','02280','01249','00803','01811','00977','00817','01520','01413','02475','03209','02491','01069',,'02098',,'02615','03770'
'02154','00945','00681','02302','01252','00812','01816','00987','00825','01542','01420','02480','03289','02505','01108',,'02101',,'02695','03777'
'02214','00969','00692','02353','01265','00814','01880','00998','00849','01565','01422','02482','03427','02571','01167',,'02129',,'02804','03811'
'02230','00980','00696','02461','01267','00827','01953','01006','00860','01578','01423','02498','03435','02572','01193',,'02142',,'02810','03872'
'02233','00989','00698','02462','01272','00830','01963','01008','00874','01589','01451','02516','03450','02582','01235',,'02146',,'02817','03967'
'02237','00997','00704','02499','01278','00837','01967','01016','00905','01620','01496','02562','03518','02591','01247',,'02177',,'02819','04037'
'02284','00999','00720','02506','01287','00850','02012','01018','00908','01622','01526','02587','03530','02618','01250',,'02186',,'02834','04081'
'02291','01014','00737','02534','01288','00857','02018','01022','00910','01642','01551','02589','03552','02638','01310',,'02271',,'02853','04093'
'02331','01026','00746','02619','01291','00872','02041','01023','00964','01687','01563','02643','03558','02680','01313',,'02276',,'02870','04153'
'02372','01035','00747','02630','01349','00873','02072','01030','00991','01730','01580','02649','03630','02681','01330',,'02283',,'02958','04298'
'02389','01050','00762','02639','01373','00899','02073','01039','01025','01737','01584','02660','03654','02704','01354',,'02318',,'03175','04305'
'02426','01055','00768','02662','01417','00912','02085','01040','01029','01739','01591','02676','03701','02733','01359',,'02321',,'03187','04324'
